row,key,ok,messages
0,0809BEdG069,True,
1,0809BEdE033,True,
2,0809BEdE099,True,
3,0809BEdE011,True,
4,0809BEdE018,True,
5,0811BBA295,True,
6,0809BEdE075,True,
7,0809BEdE003,True,
8,0811BCOM172,True,
9,0809BEdE015,True,
10,0809BEdG013,True,
11,0811BCOM380,True,
12,0811BCOM524,True,
13,0710BCOM069,True,
14,0811BCOM141,True,
15,0809BEdE034,True,
16,0809BEdE032,True,
17,0811BCA097,True,
18,0811BCOM567,True,
19,0809BEdE088,True,
20,0811BCA018,True,
21,0710BCOM033,True,
22,0809BEdE077,True,
23,0710BCOM184,True,
24,2009/25,True,
